# class blue green red nir swir_1 swir_2 red_edge_1 red_edge_2 red_edge_3 BCMAD EMAD SMAD NDVI LAI MNDWI slope elevation mrrtf mrvbf
0.000000 933.374161 1350.290268 1813.239933 2875.157718 3573.825503 3006.496644 2177.442953 2595.045302 2802.810403 0.059110 1025.768555 0.002388 0.229414 0.457712 -0.453968 2.430075 1447.327181 3.825503 1.912752
0.000000 958.971831 1325.619718 1726.197183 2740.422535 3625.436620 3060.985915 2058.943662 2428.563380 2630.563380 0.062046 1105.217041 0.003069 0.230133 0.459784 -0.467577 3.548550 1442.859155 2.338028 3.859155
0.000000 981.893082 1374.411950 1826.559748 2769.676101 3608.830189 3022.229560 2162.116352 2462.226415 2653.198113 0.074348 1195.481079 0.001937 0.208561 0.405145 -0.451818 2.093599 1429.644654 3.952830 1.710692
0.000000 938.148760 1303.471074 1769.727273 2742.049587 3930.413223 3213.008264 2112.884298 2419.413223 2602.826446 0.064410 1085.643433 0.001218 0.216066 0.420954 -0.502491 2.585966 1467.975207 3.446281 1.504132
0.000000 932.948187 1297.260794 1700.917098 2753.520725 3581.110535 2887.088946 2049.841969 2454.031088 2661.802245 0.066996 1071.970581 0.002469 0.240563 0.480700 -0.471777 2.563597 1509.854922 4.898100 1.739206
0.000000 894.704545 1257.659091 1678.909091 2781.545455 3893.250000 3075.454545 2042.590909 2431.522727 2648.454545 0.080170 1350.900024 0.001848 0.249757 0.501202 -0.513543 2.399431 1446.795455 2.250000 1.681818
0.000000 835.082090 1153.888060 1515.955224 2695.477612 3741.253731 2833.500000 1878.544776 2334.067164 2562.529851 0.073679 1171.683716 0.002297 0.285475 0.572195 -0.532092 3.204765 1451.679104 1.791045 1.537313
0.000000 805.060345 1186.064655 1625.564655 2670.133621 3563.732759 2856.323276 1971.185345 2367.297414 2569.543103 0.065564 1076.170654 0.002427 0.245908 0.461177 -0.502100 2.742496 1526.323276 2.806034 1.586207
0.000000 863.212625 1184.196013 1565.976744 2673.916944 3766.681063 2910.485050 1923.757475 2334.840532 2553.996678 0.065152 1068.606323 0.002376 0.264508 0.526129 -0.523942 3.163046 1520.880399 2.312292 1.581395
0.000000 800.384314 1133.929412 1494.662745 2568.596078 3619.815686 2819.345098 1840.388235 2255.450980 2461.203922 0.068470 1051.682861 0.002737 0.271441 0.511391 -0.527429 2.634247 1523.752941 2.552941 1.666667
