# class blue green red nir swir_1 swir_2 red_edge_1 red_edge_2 red_edge_3 BCMAD EMAD SMAD NDVI LAI MNDWI slope
1.000000 779.846154 1008.538462 1215.538462 2486.076923 3436.769231 2816.923077 1549.307692 2088.692308 2337.076923 0.065354 1029.139526 0.005757 0.345091 0.707799 -0.546943 3.245122
1.000000 783.500000 1074.400000 1421.200000 2426.500000 3609.800000 2745.700000 1732.100000 2111.100000 2316.200000 0.056118 826.656372 0.001924 0.261523 0.485093 -0.541541 1.571287
1.000000 1081.533333 1521.333333 2058.666667 2987.600000 3935.733333 3418.933333 2361.133333 2667.866667 2856.400000 0.051412 927.227661 0.000909 0.184273 0.369979 -0.442493 3.574094
1.000000 754.909091 1016.909091 1263.000000 2421.090909 3335.727273 2672.818182 1591.727273 2059.363636 2283.636364 0.062717 975.402527 0.004265 0.314728 0.612495 -0.533107 3.612126
0.000000 669.705882 907.058824 1107.882353 2309.352941 3130.470588 2282.411765 1463.941176 1939.058824 2168.058824 0.066169 918.616699 0.003483 0.355458 0.663553 -0.552130 2.241212
0.000000 617.400000 883.200000 1062.000000 2515.200000 3061.200000 2148.800000 1510.000000 2114.400000 2379.000000 0.078306 1024.562866 0.004149 0.418050 0.809566 -0.557789 2.377350
0.000000 988.000000 1355.285714 1813.714286 2896.142857 4014.428571 3205.428571 2179.285714 2549.857143 2755.714286 0.056616 1028.093140 0.002359 0.235338 0.482350 -0.499920 1.301652
0.000000 806.833333 1099.500000 1483.500000 2474.166667 3856.833333 2963.166667 1829.666667 2153.166667 2342.833333 0.051064 873.883606 0.003227 0.250302 0.466667 -0.556329 1.044398
0.000000 746.100000 1043.400000 1376.750000 2640.500000 3604.250000 2756.800000 1776.950000 2266.050000 2504.400000 0.054727 831.467468 0.001485 0.315583 0.629181 -0.552173 1.893915
0.000000 570.933333 819.733333 1068.333333 2172.066667 2964.933333 2134.200000 1414.533333 1842.133333 2043.333333 0.081406 1025.973511 0.007839 0.342534 0.579570 -0.567999 2.911778
0.000000 731.200000 1011.466667 1200.600000 2690.600000 3270.066667 2395.066667 1618.933333 2270.666667 2549.400000 0.055435 850.712280 0.000908 0.384469 0.818476 -0.528540 3.957082
0.000000 541.055556 747.444444 875.611111 2078.555556 2674.000000 1928.888889 1220.500000 1737.777778 1961.222222 0.074704 842.159119 0.003670 0.413177 0.701447 -0.565240 2.985060
1.000000 567.166667 686.333333 845.833333 1472.500000 2922.000000 2516.500000 1053.000000 1309.500000 1461.166667 0.078511 874.844727 0.003574 0.269810 0.342202 -0.619203 3.374507
1.000000 786.166667 1012.666667 1215.166667 2370.166667 3383.000000 2795.000000 1517.500000 1986.000000 2212.666667 0.054954 859.563171 0.004147 0.321964 0.640831 -0.539249 2.058914
0.000000 641.513514 874.108108 1127.567568 2238.027027 3457.891892 2341.405405 1453.027027 1864.729730 2084.243243 0.069200 981.149475 0.003438 0.330310 0.588770 -0.597351 3.671531
